date,title,creator,original_url,original_status,original_video_title,original_channel,original_duration_seconds,original_youtube_status,original_error,original_checked_at,final_url,final_status,final_video_title,final_channel,final_duration_seconds,final_checked_at,replaced,selection_reason,original_independent_recheck_error,replacement_independent_recheck,replacement_independent_checked_at
01-01,"Symphonic Études, op. 13",Schumann,https://www.youtube.com/watch?v=CIWBd7-AP4Q,playable,"Schumann, Symphonic Etudes, Op. 13 - Daniil Trifonov",Mariam Kasradze,2029,OK,,2026-09-23T05:27:13+00:00,https://www.youtube.com/watch?v=CIWBd7-AP4Q,playable,"Schumann, Symphonic Etudes, Op. 13 - Daniil Trifonov",Mariam Kasradze,2029,2026-09-23T05:27:13+00:00,False,,,,
01-02,Nocturnes,Fauré,https://www.youtube.com/watch?v=sqw5B9B9j4M,playable,"Fauré - Les 13 Nocturnes (Complete), Thème et variations Op.73 (Century's recording: Éric Heidsieck)",Classical Music/ /Reference Recording,5492,OK,,2026-09-23T05:27:14+00:00,https://www.youtube.com/watch?v=sqw5B9B9j4M,playable,"Fauré - Les 13 Nocturnes (Complete), Thème et variations Op.73 (Century's recording: Éric Heidsieck)",Classical Music/ /Reference Recording,5492,2026-09-23T05:27:14+00:00,False,,,,
01-03,"""Triple"" Concerto for violin, cello, and piano in C, op. 56",Beethoven,https://www.youtube.com/watch?v=pkXGtE8_cig,playable,"Beethoven: Triple Concerto in C major, op. 56",Amanda Forsyth,2213,OK,,2026-09-23T05:27:15+00:00,https://www.youtube.com/watch?v=pkXGtE8_cig,playable,"Beethoven: Triple Concerto in C major, op. 56",Amanda Forsyth,2213,2026-09-23T05:27:15+00:00,False,,,,
01-04,"Piano Concerto #23 in A, K. 488",Mozart,https://www.youtube.com/watch?v=BMYjGkgzinU,playable,"Mozart - Piano Concerto No. 23 in A, K. 488 [complete]",Am4d3usM0z4rt,1533,OK,,2026-09-23T05:27:16+00:00,https://www.youtube.com/watch?v=BMYjGkgzinU,playable,"Mozart - Piano Concerto No. 23 in A, K. 488 [complete]",Am4d3usM0z4rt,1533,2026-09-23T05:27:16+00:00,False,,,,
01-05,"Requiem, op. 9",Duruflé,https://www.youtube.com/watch?v=05Ry3b_ARqE,playable,Maurice DURUFLÉ - Requiem op. 9,Filharmonia Narodowa,2849,OK,,2026-09-23T05:27:18+00:00,https://www.youtube.com/watch?v=05Ry3b_ARqE,playable,Maurice DURUFLÉ - Requiem op. 9,Filharmonia Narodowa,2849,2026-09-23T05:27:18+00:00,False,,,,
01-06,"String Quartet #16 in F, op. 135",Beethoven,https://www.youtube.com/watch?v=38DA-F1V0t8,playable,"Ludwig van Beethoven - String Quartet No. 16, Op. 135",olla-vogala,1474,OK,,2026-09-23T05:27:19+00:00,https://www.youtube.com/watch?v=38DA-F1V0t8,playable,"Ludwig van Beethoven - String Quartet No. 16, Op. 135",olla-vogala,1474,2026-09-23T05:27:19+00:00,False,,,,
01-07,"L'estro Armonico, op. 3",Vivaldi,https://www.youtube.com/watch?v=c6_Z5lpc1g0,playable,Vivaldi - Opus 3 no 3 in G Major - L'estro Armonico,Luis Peres,378,OK,,2026-09-23T05:27:20+00:00,https://www.youtube.com/watch?v=c6_Z5lpc1g0,playable,Vivaldi - Opus 3 no 3 in G Major - L'estro Armonico,Luis Peres,378,2026-09-23T05:27:20+00:00,False,,,,
01-08,Concerto Grosso #1,Schnittke,https://www.youtube.com/watch?v=4RrLWema4tU,playable,Alfred Schnittke Concerto Grosso No. 1,Facundo Maciel,3136,OK,,2026-09-23T05:27:21+00:00,https://www.youtube.com/watch?v=4RrLWema4tU,playable,Alfred Schnittke Concerto Grosso No. 1,Facundo Maciel,3136,2026-09-23T05:27:21+00:00,False,,,,
01-09,"Violin Concerto in E minor, op. 64",Mendelssohn,https://www.youtube.com/watch?v=I03Hs6dwj7E,playable,"Ray Chen Mendelssohn Violin Concerto in E minor, Op. 64",Ray Chen,1767,OK,,2026-09-23T05:27:23+00:00,https://www.youtube.com/watch?v=I03Hs6dwj7E,playable,"Ray Chen Mendelssohn Violin Concerto in E minor, Op. 64",Ray Chen,1767,2026-09-23T05:27:23+00:00,False,,,,
01-10,"Clarinet Concerto in A, K. 622",Mozart,https://www.youtube.com/watch?v=YT_63UntRJE,playable,"Wolfgang Amadeus Mozart: Clarinet Concerto in A major, K.622",Iceland Symphony Orchestra,1866,OK,,2026-09-23T05:27:24+00:00,https://www.youtube.com/watch?v=YT_63UntRJE,playable,"Wolfgang Amadeus Mozart: Clarinet Concerto in A major, K.622",Iceland Symphony Orchestra,1866,2026-09-23T05:27:24+00:00,False,,,,
